Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
South Africa,ZAF,2000,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,56
South Africa,ZAF,2001,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,58
South Africa,ZAF,2002,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,60
South Africa,ZAF,2003,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,62.3
South Africa,ZAF,2004,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,64.5
South Africa,ZAF,2005,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.7
South Africa,ZAF,2006,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,69
South Africa,ZAF,2007,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,71.2
South Africa,ZAF,2008,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,73.3
South Africa,ZAF,2009,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,75.3
South Africa,ZAF,2010,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,77.1
South Africa,ZAF,2011,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,78.7
South Africa,ZAF,2012,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80
South Africa,ZAF,2013,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.4
South Africa,ZAF,2014,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,82.8
South Africa,ZAF,2015,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,83.8
South Africa,ZAF,2016,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.9
South Africa,ZAF,2017,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.8
South Africa,ZAF,2018,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.6
South Africa,ZAF,2019,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,87.4
South Africa,ZAF,2020,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,88.1
South Africa,ZAF,2021,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,88.7
South Africa,ZAF,2022,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,89.4
South Africa,ZAF,2000,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,29.6
South Africa,ZAF,2001,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,31.6
South Africa,ZAF,2002,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,34.4
South Africa,ZAF,2003,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,37
South Africa,ZAF,2004,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,40.1
South Africa,ZAF,2005,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,42.6
South Africa,ZAF,2006,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,45.85
South Africa,ZAF,2007,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,48.8
South Africa,ZAF,2008,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,51.2
South Africa,ZAF,2009,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,53.5
South Africa,ZAF,2010,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,55.6
South Africa,ZAF,2011,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,57.6
South Africa,ZAF,2012,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,59.3
South Africa,ZAF,2013,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,60.7
South Africa,ZAF,2014,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,62.3
South Africa,ZAF,2015,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,63.6
South Africa,ZAF,2016,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,64.9
South Africa,ZAF,2017,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,66.1
South Africa,ZAF,2018,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,67.1
South Africa,ZAF,2019,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,68.3
South Africa,ZAF,2020,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,69.4
South Africa,ZAF,2021,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,70.5
South Africa,ZAF,2022,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,71.4
